run_name,date,time,timestamp,model,lineage,generation,real_percent,real_loss,perplexity,output_entropy_nats,output_entropy_bits,distinct_1,distinct_2,distinct_3,distinct_4,_file,real_fraction,condition
p160m-mix0-synthetic-20260814-120435,2026-08-14,12:04:54,2026-08-14 12:04:54,EleutherAI/pythia-160m-deduped,synthetic,0,0.0,3.29206,26.8982,3.177778,4.584565,0.160034,0.654201,0.856158,0.92255,p160m-mix0-synthetic-20260814-120435.json,0.0,mix0
p160m-mix0-synthetic-20260814-120435,2026-08-14,12:12:29,2026-08-14 12:12:29,EleutherAI/pythia-160m-deduped,synthetic,1,0.0,3.277676,26.5141,2.571883,3.710443,0.116272,0.522872,0.723346,0.801848,p160m-mix0-synthetic-20260814-120435.json,0.0,mix0
p160m-mix0-synthetic-20260814-120435,2026-08-14,12:21:25,2026-08-14 12:21:25,EleutherAI/pythia-160m-deduped,synthetic,2,0.0,3.2763,26.4776,2.412676,3.480756,0.091583,0.480339,0.701991,0.789078,p160m-mix0-synthetic-20260814-120435.json,0.0,mix0
p160m-mix0-synthetic-20260814-120435,2026-08-14,12:30:34,2026-08-14 12:30:34,EleutherAI/pythia-160m-deduped,synthetic,3,0.0,3.266747,26.2259,1.920007,2.769985,0.091187,0.399737,0.565196,0.641638,p160m-mix0-synthetic-20260814-120435.json,0.0,mix0
p160m-mix0-synthetic-20260814-120435,2026-08-14,12:39:44,2026-08-14 12:39:44,EleutherAI/pythia-160m-deduped,synthetic,4,0.0,3.288713,26.8083,1.898233,2.738571,0.068634,0.355461,0.56489,0.670586,p160m-mix0-synthetic-20260814-120435.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,13:39:32,2026-08-14 13:39:32,EleutherAI/pythia-160m-deduped,synthetic,5,0.0,3.296186,27.0094,1.338932,1.931671,0.049713,0.253914,0.404902,0.487475,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,13:48:19,2026-08-14 13:48:19,EleutherAI/pythia-160m-deduped,synthetic,6,0.0,3.298897,27.0827,1.361621,1.964404,0.06543,0.275349,0.401072,0.470193,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,13:57:49,2026-08-14 13:57:49,EleutherAI/pythia-160m-deduped,synthetic,7,0.0,3.306182,27.2808,0.758742,1.094633,0.037567,0.144417,0.218321,0.262985,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,14:07:55,2026-08-14 14:07:55,EleutherAI/pythia-160m-deduped,synthetic,8,0.0,3.314529,27.5094,0.470362,0.678589,0.019836,0.089072,0.133732,0.16199,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,14:18:03,2026-08-14 14:18:03,EleutherAI/pythia-160m-deduped,synthetic,9,0.0,3.311409,27.4237,0.442731,0.638726,0.009338,0.037855,0.061826,0.082638,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
p160m-mix0-synthetic-20260814-133854,2026-08-14,14:28:19,2026-08-14 14:28:19,EleutherAI/pythia-160m-deduped,synthetic,10,0.0,3.327457,27.8674,0.437211,0.630762,0.006104,0.018224,0.029197,0.041012,p160m-mix0-synthetic-20260814-133854.json,0.0,mix0
