run_name,date,time,timestamp,model,lineage,generation,real_percent,real_loss,perplexity,output_entropy_nats,output_entropy_bits,distinct_1,distinct_2,distinct_3,distinct_4
p160m-mix90-synthetic-20260814-135049,2026-08-14,13:51:21,2026-08-14T13:51:21,EleutherAI/pythia-160m-deduped,synthetic,0,90.0,3.29206,26.8982,3.177778,4.584565,0.160034,0.654201,0.856158,0.92255
p160m-mix90-synthetic-20260814-135049,2026-08-14,13:54:08,2026-08-14T13:54:08,EleutherAI/pythia-160m-deduped,synthetic,1,90.0,3.268041,26.2599,2.404809,3.469406,0.104767,0.5196,0.718413,0.791319
p160m-mix90-synthetic-20260814-135049,2026-08-14,13:57:18,2026-08-14T13:57:18,EleutherAI/pythia-160m-deduped,synthetic,2,90.0,3.251627,25.8323,2.395074,3.455361,0.11673,0.544001,0.756495,0.825945
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:00:32,2026-08-14T14:00:32,EleutherAI/pythia-160m-deduped,synthetic,3,90.0,3.256035,25.9465,2.37856,3.431537,0.123871,0.552226,0.739338,0.814526
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:03:48,2026-08-14T14:03:48,EleutherAI/pythia-160m-deduped,synthetic,4,90.0,3.251673,25.8335,2.390471,3.448721,0.100677,0.505626,0.722457,0.803383
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:07:03,2026-08-14T14:07:03,EleutherAI/pythia-160m-deduped,synthetic,5,90.0,3.248342,25.7476,2.257793,3.257307,0.099091,0.487616,0.698009,0.787512
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:10:32,2026-08-14T14:10:32,EleutherAI/pythia-160m-deduped,synthetic,6,90.0,3.241789,25.5794,2.347768,3.387113,0.080566,0.472144,0.698223,0.783644
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:13:55,2026-08-14T14:13:55,EleutherAI/pythia-160m-deduped,synthetic,7,90.0,3.241281,25.5664,2.255341,3.253769,0.081543,0.458659,0.681005,0.772839
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:17:06,2026-08-14T14:17:06,EleutherAI/pythia-160m-deduped,synthetic,8,90.0,3.250224,25.7961,2.299866,3.318005,0.093414,0.471624,0.679381,0.758565
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:20:47,2026-08-14T14:20:47,EleutherAI/pythia-160m-deduped,synthetic,9,90.0,3.249313,25.7726,2.381231,3.43539,0.117065,0.536815,0.741268,0.820297
p160m-mix90-synthetic-20260814-135049,2026-08-14,14:23:57,2026-08-14T14:23:57,EleutherAI/pythia-160m-deduped,synthetic,10,90.0,3.246234,25.6934,2.116177,3.052998,0.081268,0.441689,0.649449,0.729156
